,Site,HouseID,REP#,CoreID,Depth,LU_Current,LU_Previous,Yr_Built,Lawn Age,CoarseVeg,StructDen,BD,Sand_Perc,Clay_Perc,Silt_Perc,Respiration,C_Perc,N_Perc,C_N_Perc,MB_C,MB_N,C_gm2,N_gm2,Initial Nitrates,Initial NH4,Net N Min,Net Nitr
241,House16,16.0,2,16.2,30to70,Residential,Forest,1963.0,44.0,4.0,2.0,1.119,82.482,5.005,12.513,3.484,0.059,0.0,13.41740885880537,80.11,2.021,265.42,0.0,0.953,0.667,0.003,0.013
242,House16,16.0,1,16.1,70to100,Residential,Forest,1963.0,44.0,4.0,2.0,1.097,88.827,5.321,5.853,4.218,0.038,0.0,13.41740885880537,104.05,1.226,125.479,0.0,0.229,0.687,0.014,0.0
243,House16,16.0,2,16.2,70to100,Residential,Forest,1963.0,44.0,4.0,2.0,0.978,86.5,2.5,11.0,3.502,0.039,0.0,13.41740885880537,86.88,1.606,113.37,0.0,1.23,0.228,-0.024,-0.024
244,House17,17.0,1,17.1,0to10,Residential,Forest,1960.0,47.0,4.0,2.0,0.795,46.947,11.261,41.792,5.413,2.047,0.169,12.096,647.04,64.901,1627.404,134.541,6.087,1.217,0.562,0.574
245,House17,17.0,2,17.2,0to10,Residential,Forest,1960.0,47.0,4.0,2.0,0.701,,,,11.958,3.301,0.264,12.498,527.28,82.312,2314.306,185.18,3.356,1.62,0.853,0.727
246,House17,17.0,1,17.1,10to30,Residential,Forest,1960.0,47.0,4.0,2.0,0.923,43.139,11.997,44.864,4.479,1.254,0.104,12.063,176.06,8.474,2316.641,192.049,1.014,1.281,0.022,0.091
247,House17,17.0,2,17.2,10to30,Residential,Forest,1960.0,47.0,4.0,2.0,0.988,47.085,18.764,34.151,6.05,0.948,0.079,12.059,97.15,15.513,1872.292,155.262,0.261,2.037,0.376,0.026
248,House17,17.0,1,17.1,30to70,Residential,Forest,1960.0,47.0,4.0,2.0,1.076,52.101,17.259,30.64,3.147,0.311,0.036,8.539,95.79,2.99,1339.598,156.871,0.616,1.592,0.009,0.036
249,House17,17.0,2,17.2,30to70,Residential,Forest,1960.0,47.0,4.0,2.0,1.074,53.34,17.263,29.397,4.057,0.412,0.037,11.274,127.57,7.67,1769.22,156.929,0.254,3.656,0.068,0.0
250,House17,17.0,1,17.1,70to100,Residential,Forest,1960.0,47.0,4.0,2.0,1.067,63.991,10.003,26.007,3.153,0.163,0.016,9.944,82.91,0.79,522.35,52.53,0.249,0.697,-0.045,0.0
251,House17,17.0,2,17.2,70to100,Residential,Forest,1960.0,47.0,4.0,2.0,,,,,5.606775,1.0592625000000002,0.078946875,13.41740885880537,199.36755470325,28.089272727272725,1404.5917757009345,111.34078504672897,5.03339375,2.6695,0.2402319749216301,0.2048808777429467
252,House18,18.0,2,18.2,0to10,Residential,Forest,1959.0,48.0,4.0,2.0,0.528,,,,13.064,3.441,0.247,13.947,447.51,134.133,1815.961,130.202,39.937,18.451,1.605,2.536
253,House18,18.0,3,18.3,0to10,Residential,Forest,1959.0,48.0,4.0,2.0,0.735,46.223,13.507,40.27,13.612,3.358,0.26,12.903,377.36,90.662,2469.394,191.389,13.089,11.65,1.459,1.987
254,House18,18.0,1,18.1,10to30,Residential,Forest,1959.0,48.0,4.0,2.0,0.912,67.649,9.993,22.358,5.844,0.536,0.031,17.245,122.88,8.76,977.077,56.66,0.255,0.255,0.077,0.05
255,House18,18.0,2,18.2,10to30,Residential,Forest,1959.0,48.0,4.0,2.0,1.019,66.133,11.247,22.619,3.959,0.788,0.033,23.991,116.07,10.055,1607.204,66.993,3.024,0.756,0.1,0.083
256,House18,18.0,2,18.2,30to70,Residential,Forest,1959.0,48.0,4.0,2.0,,,,,5.606775,1.0592625000000002,0.078946875,13.41740885880537,199.36755470325,28.089272727272725,1404.5917757009345,111.34078504672897,5.03339375,2.6695,0.2402319749216301,0.2048808777429467
